股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,9800,0,持平,2026-09-17
聯發科,2454,2210,0,持平,2026-09-17
奇鋐,3017,2850,0,持平,2026-09-17
聯電,2303,58000,3000,加碼,2026-09-17
欣興,3037,8460,0,持平,2026-09-17
台光電,2383,1600,0,持平,2026-09-17
旺矽,6223,1100,0,持平,2026-09-17
健策,3653,1115,0,持平,2026-09-17
台達電,2308,2750,0,持平,2026-09-17
緯穎,6669,1988,0,持平,2026-09-17
國巨*,2327,8000,0,持平,2026-09-17
智邦,2345,2307,0,持平,2026-09-17
創意,3443,620,0,持平,2026-09-17
南亞,1303,13500,0,持平,2026-09-17
景碩,3189,3850,0,持平,2026-09-17
南電,8046,2770,0,持平,2026-09-17
貿聯-KY,3665,1293,0,持平,2026-09-17
環球晶,6488,2800,0,持平,2026-09-17
台燿,6274,1900,0,持平,2026-09-17
信驊,5274,120,0,持平,2026-09-17
致茂,2360,1000,0,持平,2026-09-17
高力,8996,1580,0,持平,2026-09-17
大立光,3008,280,-100,減碼,2026-09-17
富世達,6805,760,0,持平,2026-09-17
力成,6239,5360,0,持平,2026-09-17
鴻海,2317,3200,0,持平,2026-09-17
鴻勁,7769,130,0,持平,2026-09-17
順達,3211,2000,0,持平,2026-09-17
京元電子,2449,2600,0,持平,2026-09-17
聯鈞,3450,1300,198,加碼,2026-09-17
川湖,2059,55,10,加碼,2026-09-17
日月光投控,3711,1000,0,持平,2026-09-17
南亞科,2408,1200,440,加碼,2026-09-17
辛耘,3583,800,0,持平,2026-09-17
光聖,6442,350,0,持平,2026-09-17
強茂,2481,3000,0,持平,2026-09-17
國泰金,2882,4000,0,持平,2026-09-17
漢唐,2404,250,0,持平,2026-09-17
全新,2455,386,0,持平,2026-09-17
嘉澤,3533,120,-40,減碼,2026-09-17
欣銓,3264,700,0,持平,2026-09-17
中砂,1560,191,0,持平,2026-09-17
長興,1717,1500,0,持平,2026-09-17
光寶科,2301,300,0,持平,2026-09-17
啟碁,6285,350,0,持平,2026-09-17
金居,8358,100,0,持平,2026-09-17
群聯,8299,1,0,持平,2026-09-17
帆宣,6196,1,0,持平,2026-09-17
上銀,2049,1,0,持平,2026-09-17
華邦電,2344,1,0,持平,2026-09-17
旺宏,2337,1,0,持平,2026-09-17
