股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11840,0,持平,2026-07-24
台光電,2383,4653,0,持平,2026-07-24
聯發科,2454,5131,0,持平,2026-07-24
國巨*,2327,25098,0,持平,2026-07-24
欣興,3037,16971,0,持平,2026-07-24
智邦,2345,6334,0,持平,2026-07-24
旺矽,6223,2443,0,持平,2026-07-24
緯穎,6669,2417,0,持平,2026-07-24
奇鋐,3017,5423,0,持平,2026-07-24
聯電,2303,86550,0,持平,2026-07-24
貿聯-KY,3665,4834,0,持平,2026-07-24
南電,8046,9519,0,持平,2026-07-24
日月光投控,3711,16327,0,持平,2026-07-24
台達電,2308,5567,0,持平,2026-07-24
健策,3653,2267,0,持平,2026-07-24
金像電,2368,7478,0,持平,2026-07-24
信驊,5274,449,0,持平,2026-07-24
台燿,6274,5160,0,持平,2026-07-24
富世達,6805,1931,0,持平,2026-07-24
勤誠,8210,2267,0,持平,2026-07-24
京元電子,2449,7089,0,持平,2026-07-24
萬潤,6187,1334,0,持平,2026-07-24
精測,6510,349,0,持平,2026-07-24
臻鼎-KY,4958,1682,0,持平,2026-07-24
華星光,4979,1874,1874,新增,2026-07-24
亞德客-KY,1590,528,0,持平,2026-07-24
頎邦,6147,4706,0,持平,2026-07-24
台表科,6278,4334,0,持平,2026-07-24
高技,5439,2646,0,持平,2026-07-24
穎崴,6515,93,0,持平,2026-07-24
同欣電,6271,2966,0,持平,2026-07-24
南亞科,2408,940,0,持平,2026-07-24
精成科,6191,3988,0,持平,2026-07-24
新日興,3376,1741,0,持平,2026-07-24
欣銓,3264,1508,0,持平,2026-07-24
中鋼,2002,5163,0,持平,2026-07-24
譜瑞-KY,4966,140,0,持平,2026-07-24
創意,3443,1,0,持平,2026-07-24
大立光,3008,1,0,持平,2026-07-24
世芯-KY,3661,1,0,持平,2026-07-24
嘉澤,3533,1,0,持平,2026-07-24
環球晶,6488,1,0,持平,2026-07-24
高力,8996,1,0,持平,2026-07-24
強茂,2481,5,0,持平,2026-07-24
金居,8358,1,0,持平,2026-07-24
廣達,2382,1,0,持平,2026-07-24
鴻海,2317,1,0,持平,2026-07-24
華通,2313,1,0,持平,2026-07-24
世界,5347,1,0,持平,2026-07-24
南茂,8150,1,0,持平,2026-07-24
美律,2439,1,0,持平,2026-07-24
