股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12900,0,持平,2026-06-25
聯電,2303,75000,400,加碼,2026-06-25
國巨*,2327,10050,0,持平,2026-06-25
欣興,3037,8960,0,持平,2026-06-25
華邦電,2344,38800,0,持平,2026-06-25
奇鋐,3017,3250,0,持平,2026-06-25
台光電,2383,1350,0,持平,2026-06-25
旺矽,6223,940,0,持平,2026-06-25
聯發科,2454,1435,0,持平,2026-06-25
智邦,2345,2100,0,持平,2026-06-25
台達電,2308,2430,0,持平,2026-06-25
金像電,2368,3700,-500,減碼,2026-06-25
臻鼎-KY,4958,6440,0,持平,2026-06-25
緯穎,6669,790,0,持平,2026-06-25
台燿,6274,1700,0,持平,2026-06-25
日月光投控,3711,4500,0,持平,2026-06-25
健策,3653,830,0,持平,2026-06-25
嘉澤,3533,1240,0,持平,2026-06-25
高力,8996,1560,0,持平,2026-06-25
旺宏,2337,13850,-2500,減碼,2026-06-25
創意,3443,450,20,加碼,2026-06-25
世界,5347,9911,0,持平,2026-06-25
環球晶,6488,2000,0,持平,2026-06-25
鴻勁,7769,279,0,持平,2026-06-25
穎崴,6515,200,0,持平,2026-06-25
景碩,3189,1968,168,加碼,2026-06-25
頎邦,6147,6000,0,持平,2026-06-25
力旺,3529,390,0,持平,2026-06-25
金居,8358,1950,0,持平,2026-06-25
南亞,1303,7550,0,持平,2026-06-25
光聖,6442,570,0,持平,2026-06-25
富世達,6805,570,0,持平,2026-06-25
致茂,2360,450,0,持平,2026-06-25
南電,8046,795,0,持平,2026-06-25
鴻海,2317,3200,0,持平,2026-06-25
信驊,5274,45,0,持平,2026-06-25
貿聯-KY,3665,400,-100,減碼,2026-06-25
辛耘,3583,900,0,持平,2026-06-25
順達,3211,1560,0,持平,2026-06-25
譜瑞-KY,4966,900,0,持平,2026-06-25
中砂,1560,800,0,持平,2026-06-25
帆宣,6196,1000,0,持平,2026-06-25
矽力*-KY,6415,900,0,持平,2026-06-25
上銀,2049,1010,0,持平,2026-06-25
華星光,4979,500,-100,減碼,2026-06-25
全新,2455,450,0,持平,2026-06-25
群聯,8299,1,0,持平,2026-06-25
聯亞,3081,1,-159,減碼,2026-06-25
勤誠,8210,1,0,持平,2026-06-25
穩懋,3105,1,0,持平,2026-06-25
