股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,14200,0,持平,2026-06-10
聯電,2303,68000,0,持平,2026-06-10
國巨*,2327,9760,1000,加碼,2026-06-10
欣興,3037,8960,0,持平,2026-06-10
奇鋐,3017,3250,0,持平,2026-06-10
金像電,2368,4700,0,持平,2026-06-10
台光電,2383,1350,0,持平,2026-06-10
日月光投控,3711,12101,0,持平,2026-06-10
華邦電,2344,36000,0,持平,2026-06-10
台達電,2308,2430,0,持平,2026-06-10
旺矽,6223,870,40,加碼,2026-06-10
智邦,2345,2100,0,持平,2026-06-10
聯發科,2454,1170,60,加碼,2026-06-10
緯穎,6669,790,0,持平,2026-06-10
健策,3653,830,0,持平,2026-06-10
臻鼎-KY,4958,5492,0,持平,2026-06-10
嘉澤,3533,1240,0,持平,2026-06-10
貿聯-KY,3665,1090,0,持平,2026-06-10
台燿,6274,1520,100,加碼,2026-06-10
旺宏,2337,16350,0,持平,2026-06-10
鴻勁,7769,279,0,持平,2026-06-10
致茂,2360,840,0,持平,2026-06-10
創意,3443,430,0,持平,2026-06-10
高力,8996,1334,100,加碼,2026-06-10
聯亞,3081,720,0,持平,2026-06-10
光聖,6442,830,0,持平,2026-06-10
世界,5347,9911,0,持平,2026-06-10
穎崴,6515,165,0,持平,2026-06-10
頎邦,6147,5600,0,持平,2026-06-10
力旺,3529,390,0,持平,2026-06-10
環球晶,6488,1497,0,持平,2026-06-10
富世達,6805,570,0,持平,2026-06-10
勤誠,8210,680,0,持平,2026-06-10
金居,8358,1710,0,持平,2026-06-10
南電,8046,1080,0,持平,2026-06-10
景碩,3189,1380,0,持平,2026-06-10
鴻海,2317,3200,0,持平,2026-06-10
信驊,5274,45,0,持平,2026-06-10
群聯,8299,350,0,持平,2026-06-10
辛耘,3583,900,0,持平,2026-06-10
譜瑞-KY,4966,900,0,持平,2026-06-10
華星光,4979,1155,-45,減碼,2026-06-10
南亞,1303,5300,0,持平,2026-06-10
穩懋,3105,957,0,持平,2026-06-10
帆宣,6196,870,0,持平,2026-06-10
上銀,2049,1010,0,持平,2026-06-10
全新,2455,450,0,持平,2026-06-10
中砂,1560,78,0,持平,2026-06-10
健鼎,3044,1,-199,減碼,2026-06-10
強茂,2481,1,0,持平,2026-06-10
