股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11960,0,持平,2026-07-16
台光電,2383,4653,0,持平,2026-07-16
國巨*,2327,25098,0,持平,2026-07-16
聯發科,2454,5131,0,持平,2026-07-16
旺矽,6223,2443,0,持平,2026-07-16
智邦,2345,6334,0,持平,2026-07-16
欣興,3037,16607,0,持平,2026-07-16
聯電,2303,86550,0,持平,2026-07-16
緯穎,6669,2417,0,持平,2026-07-16
南電,8046,9519,0,持平,2026-07-16
奇鋐,3017,5191,0,持平,2026-07-16
日月光投控,3711,16135,365,加碼,2026-07-16
台達電,2308,5181,0,持平,2026-07-16
貿聯-KY,3665,4834,0,持平,2026-07-16
金像電,2368,8315,0,持平,2026-07-16
健策,3653,2267,0,持平,2026-07-16
台燿,6274,5160,0,持平,2026-07-16
信驊,5274,449,0,持平,2026-07-16
勤誠,8210,2267,0,持平,2026-07-16
富世達,6805,1811,0,持平,2026-07-16
京元電子,2449,5193,1074,加碼,2026-07-16
萬潤,6187,1334,0,持平,2026-07-16
頎邦,6147,6275,0,持平,2026-07-16
高技,5439,3528,0,持平,2026-07-16
精測,6510,349,0,持平,2026-07-16
穎崴,6515,130,-74,減碼,2026-07-16
台表科,6278,4334,0,持平,2026-07-16
亞德客-KY,1590,528,0,持平,2026-07-16
同欣電,6271,2966,0,持平,2026-07-16
精成科,6191,3988,0,持平,2026-07-16
欣銓,3264,1508,0,持平,2026-07-16
新日興,3376,1741,0,持平,2026-07-16
中鋼,2002,5163,0,持平,2026-07-16
譜瑞-KY,4966,140,0,持平,2026-07-16
富喬,1815,107,0,持平,2026-07-16
大立光,3008,1,0,持平,2026-07-16
創意,3443,1,0,持平,2026-07-16
世芯-KY,3661,1,0,持平,2026-07-16
嘉澤,3533,1,0,持平,2026-07-16
環球晶,6488,1,-49,減碼,2026-07-16
高力,8996,1,0,持平,2026-07-16
強茂,2481,5,0,持平,2026-07-16
臻鼎-KY,4958,1,0,持平,2026-07-16
金居,8358,1,0,持平,2026-07-16
廣達,2382,1,0,持平,2026-07-16
鴻海,2317,1,0,持平,2026-07-16
華通,2313,1,0,持平,2026-07-16
世界,5347,1,0,持平,2026-07-16
南茂,8150,1,0,持平,2026-07-16
美律,2439,1,0,持平,2026-07-16
