股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,11600,0,持平,2026-07-24
聯電,2303,76000,0,持平,2026-07-24
奇鋐,3017,3450,0,持平,2026-07-24
聯發科,2454,1730,0,持平,2026-07-24
欣興,3037,7600,0,持平,2026-07-24
台光電,2383,1330,0,持平,2026-07-24
華邦電,2344,40000,0,持平,2026-07-24
旺矽,6223,1000,0,持平,2026-07-24
台達電,2308,3040,0,持平,2026-07-24
智邦,2345,2260,0,持平,2026-07-24
日月光投控,3711,6400,0,持平,2026-07-24
國巨*,2327,6000,0,持平,2026-07-24
緯穎,6669,600,0,持平,2026-07-24
健策,3653,931,0,持平,2026-07-24
臻鼎-KY,4958,6154,0,持平,2026-07-24
嘉澤,3533,1240,0,持平,2026-07-24
環球晶,6488,2350,0,持平,2026-07-24
景碩,3189,3217,0,持平,2026-07-24
台燿,6274,1680,0,持平,2026-07-24
創意,3443,510,0,持平,2026-07-24
南電,8046,1750,0,持平,2026-07-24
南亞,1303,10700,0,持平,2026-07-24
信驊,5274,124,0,持平,2026-07-24
鴻勁,7769,300,0,持平,2026-07-24
金像電,2368,1800,-260,減碼,2026-07-24
高力,8996,1600,0,持平,2026-07-24
致茂,2360,760,0,持平,2026-07-24
貿聯-KY,3665,680,80,加碼,2026-07-24
旺宏,2337,10000,0,持平,2026-07-24
富世達,6805,700,0,持平,2026-07-24
穎崴,6515,149,0,持平,2026-07-24
鴻海,2317,3200,0,持平,2026-07-24
順達,3211,2000,0,持平,2026-07-24
力成,6239,2600,250,加碼,2026-07-24
辛耘,3583,900,0,持平,2026-07-24
金居,8358,1750,0,持平,2026-07-24
中砂,1560,750,0,持平,2026-07-24
譜瑞-KY,4966,800,0,持平,2026-07-24
矽力*-KY,6415,900,0,持平,2026-07-24
上銀,2049,1010,0,持平,2026-07-24
光聖,6442,225,0,持平,2026-07-24
大立光,3008,60,0,持平,2026-07-24
漢唐,2404,180,0,持平,2026-07-24
欣銓,3264,600,0,持平,2026-07-24
全新,2455,336,0,持平,2026-07-24
啟碁,6285,250,0,持平,2026-07-24
群聯,8299,1,0,持平,2026-07-24
帆宣,6196,1,0,持平,2026-07-24
頎邦,6147,1,0,持平,2026-07-24
世界,5347,1,0,持平,2026-07-24
