股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12000,0,持平,2026-08-24
台光電,2383,1690,0,持平,2026-08-24
欣興,3037,8460,0,持平,2026-08-24
奇鋐,3017,3000,0,持平,2026-08-24
聯發科,2454,2110,0,持平,2026-08-24
聯電,2303,60000,0,持平,2026-08-24
旺矽,6223,1100,0,持平,2026-08-24
健策,3653,1080,0,持平,2026-08-24
國巨*,2327,9785,0,持平,2026-08-24
台達電,2308,3040,0,持平,2026-08-24
智邦,2345,2307,0,持平,2026-08-24
日月光投控,3711,8000,0,持平,2026-08-24
緯穎,6669,610,0,持平,2026-08-24
景碩,3189,4250,0,持平,2026-08-24
大立光,3008,626,0,持平,2026-08-24
創意,3443,610,0,持平,2026-08-24
南電,8046,2640,0,持平,2026-08-24
環球晶,6488,2800,0,持平,2026-08-24
信驊,5274,180,0,持平,2026-08-24
華邦電,2344,15000,0,持平,2026-08-24
台燿,6274,1800,0,持平,2026-08-24
貿聯-KY,3665,1200,0,持平,2026-08-24
致茂,2360,1000,0,持平,2026-08-24
高力,8996,1600,0,持平,2026-08-24
南亞,1303,9000,0,持平,2026-08-24
力成,6239,5360,0,持平,2026-08-24
富世達,6805,700,0,持平,2026-08-24
聯鈞,3450,1800,0,持平,2026-08-24
嘉澤,3533,525,0,持平,2026-08-24
鴻勁,7769,130,0,持平,2026-08-24
鴻海,2317,3200,0,持平,2026-08-24
順達,3211,2000,0,持平,2026-08-24
旺宏,2337,4500,0,持平,2026-08-24
辛耘,3583,800,0,持平,2026-08-24
川湖,2059,35,15,加碼,2026-08-24
金居,8358,800,0,持平,2026-08-24
光聖,6442,225,0,持平,2026-08-24
譜瑞-KY,4966,500,0,持平,2026-08-24
中砂,1560,393,0,持平,2026-08-24
漢唐,2404,250,0,持平,2026-08-24
臻鼎-KY,4958,500,0,持平,2026-08-24
長興,1717,2500,0,持平,2026-08-24
欣銓,3264,700,0,持平,2026-08-24
啟碁,6285,350,0,持平,2026-08-24
全新,2455,200,0,持平,2026-08-24
群聯,8299,1,0,持平,2026-08-24
帆宣,6196,1,0,持平,2026-08-24
上銀,2049,1,0,持平,2026-08-24
世界,5347,1,0,持平,2026-08-24
強茂,2481,1,0,持平,2026-08-24
