股票名稱,代碼,持有張數,張數增減,備註,日期
台積電,2330,12000,0,持平,2026-08-20
台光電,2383,1690,0,持平,2026-08-20
欣興,3037,8460,0,持平,2026-08-20
奇鋐,3017,3000,0,持平,2026-08-20
聯發科,2454,2110,0,持平,2026-08-20
聯電,2303,60000,-10000,減碼,2026-08-20
旺矽,6223,1100,40,加碼,2026-08-20
健策,3653,1080,0,持平,2026-08-20
國巨*,2327,9785,0,持平,2026-08-20
台達電,2308,3040,0,持平,2026-08-20
智邦,2345,2307,0,持平,2026-08-20
日月光投控,3711,8000,0,持平,2026-08-20
緯穎,6669,610,0,持平,2026-08-20
景碩,3189,4250,0,持平,2026-08-20
大立光,3008,626,0,持平,2026-08-20
南電,8046,2640,0,持平,2026-08-20
創意,3443,550,40,加碼,2026-08-20
信驊,5274,180,0,持平,2026-08-20
環球晶,6488,2800,0,持平,2026-08-20
貿聯-KY,3665,1200,0,持平,2026-08-20
華邦電,2344,15000,-3000,減碼,2026-08-20
台燿,6274,1680,0,持平,2026-08-20
致茂,2360,1000,0,持平,2026-08-20
高力,8996,1600,0,持平,2026-08-20
南亞,1303,9000,0,持平,2026-08-20
力成,6239,5360,0,持平,2026-08-20
富世達,6805,700,0,持平,2026-08-20
聯鈞,3450,1800,0,持平,2026-08-20
嘉澤,3533,525,0,持平,2026-08-20
鴻勁,7769,130,0,持平,2026-08-20
鴻海,2317,3200,0,持平,2026-08-20
順達,3211,2000,0,持平,2026-08-20
辛耘,3583,800,0,持平,2026-08-20
旺宏,2337,4500,-1500,減碼,2026-08-20
光聖,6442,225,0,持平,2026-08-20
金居,8358,800,0,持平,2026-08-20
譜瑞-KY,4966,500,0,持平,2026-08-20
川湖,2059,20,0,持平,2026-08-20
中砂,1560,393,-307,減碼,2026-08-20
漢唐,2404,250,0,持平,2026-08-20
臻鼎-KY,4958,500,0,持平,2026-08-20
長興,1717,2500,0,持平,2026-08-20
欣銓,3264,700,0,持平,2026-08-20
強茂,2481,700,-800,減碼,2026-08-20
啟碁,6285,350,0,持平,2026-08-20
全新,2455,200,0,持平,2026-08-20
群聯,8299,1,0,持平,2026-08-20
帆宣,6196,1,0,持平,2026-08-20
上銀,2049,1,0,持平,2026-08-20
世界,5347,1,0,持平,2026-08-20
